entity_id,state,last_changed
sensor.solarbank_3_e2700_pro_ac_hausabgabe,258,2025-11-22T12:45:13.625Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,202,2025-11-22T12:50:40.660Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,198,2025-11-22T12:55:41.561Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,192,2025-11-22T13:00:07.591Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,326,2025-11-22T13:10:33.581Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,198,2025-11-22T13:15:33.562Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,194,2025-11-22T13:20:59.586Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,179,2025-11-22T13:26:01.584Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,250,2025-11-22T13:30:28.652Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,170,2025-11-22T13:35:29.572Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,196,2025-11-22T13:37:29.603Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,206,2025-11-22T13:39:55.598Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,207,2025-11-22T13:40:55.612Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,197,2025-11-22T13:41:55.584Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,195,2025-11-22T13:45:55.566Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,192,2025-11-22T13:51:21.565Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,195,2025-11-22T13:56:21.578Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,197,2025-11-22T14:02:48.614Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,196,2025-11-22T14:05:49.557Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,194,2025-11-22T14:11:15.581Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,189,2025-11-22T14:16:16.569Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,193,2025-11-22T14:21:43.579Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,194,2025-11-22T14:25:43.572Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,199,2025-11-22T14:31:10.400Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,174,2025-11-22T14:36:10.575Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,173,2025-11-22T14:41:37.392Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,177,2025-11-22T14:43:37.573Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,176,2025-11-22T14:44:37.551Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,174,2025-11-22T14:45:37.558Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,171,2025-11-22T14:46:37.604Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,194,2025-11-22T14:52:03.395Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,196,2025-11-22T14:56:03.604Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,195,2025-11-22T15:06:30.566Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,193,2025-11-22T15:11:31.556Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,242,2025-11-22T15:16:57.600Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,264,2025-11-22T15:18:58.606Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,217,2025-11-22T15:19:58.614Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,204,2025-11-22T15:20:59.597Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,197,2025-11-22T15:21:59.574Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,193,2025-11-22T15:23:25.389Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,205,2025-11-22T15:24:25.555Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,193,2025-11-22T15:26:25.557Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,174,2025-11-22T15:31:25.590Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,196,2025-11-22T15:36:51.575Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,197,2025-11-22T15:38:51.574Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,198,2025-11-22T15:39:51.560Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,199,2025-11-22T15:40:51.550Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,243,2025-11-22T15:41:51.562Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,288,2025-11-22T15:42:51.561Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,247,2025-11-22T15:46:17.556Z
